pdb_id,label,nrdld_split
1PWM,druggable,v
1LOX,druggable,v
3ETR,druggable,v
3F1Q,druggable,v
3IA4,druggable,v
2CL5,druggable,v
1UOU,druggable,v
1T46,druggable,v
1UNL,druggable,v
1Q41,druggable,v
2I1M,druggable,v
1PMN,druggable,v
1FK9,druggable,v
1E66,druggable,v
1XOZ,druggable,v
1OWE,druggable,v
1R55,druggable,v
3F0R,druggable,v
1OQ5,druggable,v
1KZN,druggable,v
2AA2,druggable,v
3B68,druggable,v
1SQN,druggable,v
1V16,less_druggable,v
3JDW,less_druggable,v
1AJS,less_druggable,v
1WVC,less_druggable,v
1KC7,less_druggable,v
1MAI,less_druggable,v
1PX4,less_druggable,v
1OD8,less_druggable,v
1BMQ,less_druggable,v
1BLS,less_druggable,v
1M0N,less_druggable,v
1EC9,less_druggable,v
1B74,less_druggable,v
1G98,less_druggable,v
1E9X,druggable,t
1HW8,druggable,t
1SQI,druggable,t
1R9O,druggable,t
4COX,druggable,t
1C14,druggable,t
2BXR,druggable,t
2GH5,druggable,t
1HVY,druggable,t
1RSZ,druggable,t
1N2V,druggable,t
1V4S,druggable,t
1U4D,druggable,t
1M17,druggable,t
2DQ7,druggable,t
1QPE,druggable,t
1QHI,druggable,t
2FB8,druggable,t
1KE6,druggable,t
2BR1,druggable,t
1YWR,druggable,t
2IVU,druggable,t
2HIW,druggable,t
2I0E,druggable,t
1YWN,druggable,t
1IG3,druggable,t
1YVF,druggable,t
1K8Q,druggable,t
1KVO,druggable,t
1XM6,druggable,t
1UDT,druggable,t
1U30,druggable,t
1R58,druggable,t
1RWQ,druggable,t
1LPZ,druggable,t
2G24,druggable,t
1HVR,druggable,t
1GKC,druggable,t
1YQY,druggable,t
1O5R,druggable,t
1JS3,druggable,t
1K7F,druggable,t
1J4I,druggable,t
1VBM,druggable,t
1RV1,druggable,t
1GWR,druggable,t
1M2Z,druggable,t
3D4S,druggable,t
1AI2,less_druggable,t
3PCM,less_druggable,t
1D09,less_druggable,t
1C9Y,less_druggable,t
1GPU,less_druggable,t
1QMF,less_druggable,t
1MOQ,less_druggable,t
1UCN,less_druggable,t
1T03,less_druggable,t
1QS4,less_druggable,t
1FTH,less_druggable,t
1RNT,less_druggable,t
1ONZ,less_druggable,t
1X9D,less_druggable,t
1NNC,less_druggable,t
1OLQ,less_druggable,t
1JAK,less_druggable,t
1KTS,less_druggable,t
1NLJ,less_druggable,t
1ICJ,less_druggable,t
1HQG,less_druggable,t
2GSU,less_druggable,t
1G7V,less_druggable,t
1F9G,less_druggable,t
1QXO,less_druggable,t
2GYI,less_druggable,t
1O8B,less_druggable,t
1CG0,less_druggable,t
